fmm	bmm	crf	ent	bru	pre	v	adv	adj	n	ner	emprunt	neg
A	A	A	V	A	F	1	0	0	0	0	0	0
A	A	A	V	V	V	0	1	0	0	0	0	0
A	V	V	F	V	F	0	0	0.5	0	0	0	0.5
A	V	V	F	V	V	0	0.25	0.25	0.5	0	0	0
A	A	V	V	A	F	0	0	0	0.5	0.5	0	0
A	A	A	F	F	V	0.5	0	0	0	0	0	0.5
A	A	A	F	V	V	0	0.5	0	0.5	0	0	0
A	V	V	V	V	V	0.5	0	0	0	0	0	0.5
A	A	V	V	V	V	1	0	0	0	0	0	0
A	A	F	F	F	F	0	0	0	0.5	0	0.5	0
V	A	V	V	V	V	0	1	0	0	0	0	0
F	F	A	V	A	F	0	0	0	0.5	0.5	0	0
F	F	A	F	A	V	0	0	0	0.5	0	0.5	0
V	V	A	F	V	F	0.5	0.5	0	0	0	0	0
F	F	V	A	V	V	0	0	0	1	0	0	0
V	V	V	V	A	F	1	0	0	0	0	0	0
F	F	V	V	A	F	0	0	0	0	1	0	0
V	V	F	V	A	F	0.5	0	0	0	0	0.5	0
V	V	V	V	A	F	0	0	0	0	0	1	0
F	F	V	F	A	V	0	0	0	0.5	0	0.5	0
F	F	F	V	V	A	0	0	0	0	1	0	0
F	F	F	V	V	A	0	0	0	0	1	0	0
A	V	V	F	V	V	0.5	0.5	0	0	0	0	0
A	A	V	F	V	V	0	0.5	0	0.5	0	0	0
A	A	V	F	V	V	0	0.5	0.5	0	0	0	0
A	A	A	V	A	A	1	0	0	0	0	0	0
A	A	A	V	A	V	0.5	0.5	0	0	0	0	0
A	A	A	V	V	V	0.5	0.5	0	0	0	0	0
A	A	V	V	V	V	0.5	0.5	0	0	0	0	0
A	A	A	V	A	A	0.5	0.5	0	0	0	0	0
A	A	V	V	V	A	0.5	0.5	0	0	0	0	0
A	A	A	F	F	F	0.5	0	0	0	0.5	0	0
A	V	V	F	V	V	0.5	0	0	0.5	0	0	0
V	A	A	V	V	V	0	0	0.5	0.5	0	0	0
F	A	A	F	V	V	0.5	0	0	0	0.5	0	0
F	F	A	V	V	V	0.5	0	0	0	0.5	0	0
V	V	A	V	V	V	0	0.5	0	0	0.5	0	0
V	V	A	F	V	F	0.5	0.5	0	0	0	0	0
F	F	A	V	A	V	0.5	0	0	0	0.5	0	0
A	A	A	V	A	V	0.5	0	0	0.5	0	0	0
V	V	V	A	V	V	0	0	0	1	0	0	0
V	V	V	A	V	F	0.5	0	0	0.5	0	0	0
V	V	V	V	V	A	0.5	0	0	0.5	0	0	0
F	F	F	V	V	A	0	0	0	0	1	0	0
F	F	V	V	V	A	0.5	0	0	0	0.5	0	0
V	V	V	F	V	A	0.5	0	0	0.5	0	0	0
F	F	A	V	V	A	0.5	0	0	0	0.5	0	0
F	F	A	V	V	A	0.5	0	0	0	0.5	0	0
F	F	F	F	F	A	0.5	0	0	0	0.5	0	0
A	V	V	F	V	V	0.5	0	0.5	0	0	0	0
A	V	V	V	V	V	0	0	0.5	0	0	0	0.5
A	A	V	V	V	V	1	0	0	0	0	0	0
A	A	V	V	A	V	0	0	0.5	0	0	0	0.5
A	A	A	V	V	V	0	1	0	0	0	0	0
A	A	V	V	V	V	1	0	0	0	0	0	0
A	A	V	F	A	V	0.5	0.5	0	0	0	0	0
V	A	A	F	V	V	0.5	0.5	0	0	0	0	0
F	A	V	F	V	V	0.5	0	0	0	0.5	0	0
F	A	V	F	V	V	0.25	0	0	0	0.5	0.25	0
F	F	A	V	A	F	0	0	0	1	0	0	0
